date,ALLSKY_SFC_SW_DWN,kt,diffuse_fraction,rb,poa,T2M,f_temp,e_eff,PRECTOTCORR
2026-02-22 00:00:00+05:30,4.9277,0.5637178567365281,0.5203299199570606,1.1163488109780553,5.181156046726091,26.13,0.92161,4.775005224223233,0.01
2026-02-23 00:00:00+05:30,4.9757,0.566493592311422,0.5141234163754498,1.1139372731374277,5.229725317140592,26.68,0.91996,4.811138102756659,0.02
2026-02-24 00:00:00+05:30,3.9869,0.4517609369013278,0.753986835849827,1.1115282195855059,4.068672688336746,26.35,0.9209499999999999,3.747044112323726,1.81
2026-02-25 00:00:00+05:30,4.2797,0.48264681839768697,0.6946322385542343,1.1091224074381512,4.395439858984091,25.7,0.9228999999999999,4.056551445856417,3.23
2026-02-26 00:00:00+05:30,5.2615,0.5905813921893946,0.46033622270807695,1.1067205690859099,5.54496143896384,24.77,0.92569,5.132915354434437,0.0
2026-02-27 00:00:00+05:30,5.8056,0.648609955025332,0.33638967253674057,1.104323408988206,6.19379594241151,24.85,0.92545,5.732048454904732,0.0
2026-02-28 00:00:00+05:30,5.8795,0.6538173022869842,0.3260500136648945,1.1019316013050726,6.270166068682167,25.59,0.92323,5.788805419589437,0.0
2026-03-01 00:00:00+05:30,6.6456,0.7356035965392451,0.19686515433351826,1.0995457894329121,7.171325761676824,27.37,0.91789,6.58248820338554,0.0
2026-03-02 00:00:00+05:30,6.3523,0.699921419196536,0.2441014408763964,1.097166588163271,6.810250817515048,27.91,0.91627,6.240028516564513,0.0
2026-03-03 00:00:00+05:30,6.187,0.6786141344481332,0.27957088091640614,1.0947940657482675,6.598738056555549,26.62,0.92014,6.0717628353590225,0.0
2026-03-04 00:00:00+05:30,5.8042,0.6337622217375938,0.366766112315952,1.092427479855126,6.128260074617272,26.51,0.92047,5.640879550882961,0.0
2026-03-05 00:00:00+05:30,5.6146,0.6103254561608056,0.4168345668963478,1.0900683235477127,5.891295680682317,26.35,0.9209499999999999,5.4255887571243795,0.0
2026-03-06 00:00:00+05:30,5.0033,0.54147218290203,0.5698254656462329,1.087716987243218,5.16750195833613,27.17,0.91849,4.746298873712153,0.0
2026-03-07 00:00:00+05:30,3.7927,0.40866179485137244,0.8269073830426528,1.0853738532197352,3.819452842901213,27.02,0.91894,3.5098479954556403,0.0
2026-03-08 00:00:00+05:30,3.9396,0.4226523809028331,0.8046270211594202,1.0830392985770796,3.974044961343311,27.75,0.91675,3.64320571831148,0.0
2026-03-09 00:00:00+05:30,3.8674,0.41312959801456517,0.8199446253248777,1.0807136966709177,3.8940278232035257,27.51,0.91747,3.5726537069545388,0.0
2026-03-10 00:00:00+05:30,3.8153,0.4058382398649926,0.8312326958502889,1.078397417842505,3.836130967388051,27.45,0.91765,3.520225582223645,0.0
2026-03-11 00:00:00+05:30,4.5252,0.4793367794739936,0.7012391002338827,1.0760903120042913,4.5993321686597435,28.8,0.9136,4.201949869287541,0.01
2026-03-12 00:00:00+05:30,5.1962,0.5481378212022505,0.5550610227554837,1.0737930467673202,5.342108460291009,29.42,0.91174,4.870613967585725,0.08
2026-03-13 00:00:00+05:30,5.4329,0.5707676471631119,0.5045631379424211,1.0715061100741525,5.602542026380425,29.04,0.91288,5.114448565042162,0.08
2026-03-14 00:00:00+05:30,5.1257,0.5363247820260086,0.5811709137947303,1.0692298700567944,5.248494538089022,28.87,0.9133899999999999,4.793922426145132,0.06
2026-03-15 00:00:00+05:30,4.5024,0.4692341558765923,0.7210546714708799,1.0669647022906943,4.55693418336658,28.7,0.9138999999999999,4.164582150178717,0.89
2026-03-16 00:00:00+05:30,3.4397,0.35707648671898,0.896355373142223,1.0647105998223871,3.433592097808638,28.01,0.91597,3.145067353829778,3.8
2026-03-17 00:00:00+05:30,4.6454,0.48037862182957847,0.6991654847672456,1.0624682441408746,4.7033027101785505,27.59,0.91723,4.3140103448570715,0.98
2026-03-18 00:00:00+05:30,5.2042,0.5361169511662869,0.5816278354678011,1.060238516525731,5.309107724213702,27.75,0.91675,4.867124506172911,0.16
2026-03-19 00:00:00+05:30,4.6282,0.474994083669735,0.7098227901108252,1.0580218145151672,4.67629665564558,28.19,0.91543,4.280822247477634,0.1
2026-03-20 00:00:00+05:30,5.2562,0.5374577829523264,0.5786783362748074,1.0558185396199258,5.353470968660019,28.32,0.91504,4.898640075162663,0.69
2026-03-21 00:00:00+05:30,5.9981,0.6110950486338037,0.4151585779427487,1.0536284296411018,6.16688152863339,27.74,0.91678,5.653673647820519,3.32
2026-03-22 00:00:00+05:30,5.5622,0.5646648399872495,0.5182128033301501,1.0514514792801113,5.67587863824474,26.4,0.9208000000000001,5.226349050095757,0.15
2026-03-23 00:00:00+05:30,6.2518,0.6324483579906695,0.3695110870780858,1.04928841905796,6.429035990540138,27.72,0.91684,5.894397357566819,0.02
2026-03-24 00:00:00+05:30,5.8159,0.5863268463196404,0.46980442678458845,1.0471395134515107,5.939029165405252,28.65,0.91405,5.4285696086386706,0.07
2026-03-25 00:00:00+05:30,4.7791,0.4801744511430142,0.6995722835461322,1.0450050199879237,4.813453283910205,29.86,0.91042,4.382264138737528,0.24
2026-03-26 00:00:00+05:30,4.9015,0.49083942085634974,0.678051194288201,1.0428851849144531,4.939287895210086,30.68,0.90796,4.484675837334949,1.06
2026-03-27 00:00:00+05:30,5.7238,0.5713206958875775,0.5033259854234211,1.0407802393824779,5.815759652416179,30.65,0.90805,5.281000552376511,2.38
2026-03-28 00:00:00+05:30,5.8757,0.5846122589867027,0.4736262517277061,1.0386902862222132,5.972659390988942,31.06,0.90682,5.416126988936592,1.95
2026-03-29 00:00:00+05:30,5.9935,0.5944693209566151,0.45170672878929174,1.036615662512478,6.092104027750375,31.46,0.90562,5.517131249611295,0.05
2026-03-30 00:00:00+05:30,5.3189,0.5259437746629613,0.6038676828413565,1.0345564765578397,5.363589941566926,31.1,0.9067,4.8631670000187315,0.05
2026-03-31 00:00:00+05:30,2.8975,0.2856521416372336,0.9576587726655216,1.0325128844439642,2.874969644004108,31.54,0.90538,2.6029400162884393,0.82
2026-04-01 00:00:00+05:30,7.3524,0.7227161234647058,0.2119308097378343,1.0304850347271182,7.521651235228121,31.33,0.90601,6.81469123562903,1.97
2026-04-02 00:00:00+05:30,7.0205,0.6881122486262503,0.2631843763138355,1.0284730745996302,7.156802622351465,31.94,0.90418,6.471037795077748,0.0
2026-04-03 00:00:00+05:30,5.6402,0.551272619139849,0.5480937756226434,1.0264770626140642,5.681304149524602,32.71,0.90187,5.123797773331753,0.12
2026-04-04 00:00:00+05:30,4.6627,0.45448346181750854,0.7489735718145408,1.0244973825928343,4.659329798773476,32.57,0.90229,4.20406668413532,1.1
2026-04-05 00:00:00+05:30,3.4687,0.33719724273780266,0.9175185668443155,1.022534256059494,3.4449214047448122,28.92,0.91324,3.1460400236691526,2.41
2026-04-06 00:00:00+05:30,4.2756,0.4145518984455674,0.8176978153214285,1.0205878363421568,4.259053521760498,29.69,0.91093,3.8796996245772903,5.4
2026-04-07 00:00:00+05:30,4.8845,0.47238307729333867,0.7149362778803199,1.018658154026649,4.87872832969922,29.33,0.91201,4.4494490239689855,5.23
2026-04-08 00:00:00+05:30,5.081,0.49016634636803413,0.6794253057642287,1.0167450376775173,5.077217920878042,30.14,0.90958,4.61813587647225,5.0
2026-04-09 00:00:00+05:30,4.7402,0.45618248951891227,0.7458223317219373,1.0148490040907703,4.725678044177849,29.73,0.91081,4.304194819417627,9.1
2026-04-10 00:00:00+05:30,5.1504,0.4944905267547869,0.6705616679930957,1.0129702605711095,5.141424677655827,30.19,0.90943,4.675765844600539,0.58
2026-04-11 00:00:00+05:30,6.2263,0.5964161362874411,0.44739528596793465,1.011109025932433,6.242249998914034,31.24,0.90628,5.657226329015811,0.7
2026-04-12 00:00:00+05:30,6.8726,0.6568554459917786,0.32010167259859434,1.009265530623174,6.90086884532316,31.29,0.90613,6.253084286812675,0.0
2026-04-13 00:00:00+05:30,6.5734,0.6268953633626271,0.3812027701282421,1.0074400162932284,6.584902844335545,31.98,0.90406,5.953147265449993,0.0
2026-04-14 00:00:00+05:30,5.5075,0.5241340913093933,0.6077954519699845,1.005632734215516,5.490313479939725,32.45,0.90265,4.955831462667592,0.0
2026-04-15 00:00:00+05:30,5.4679,0.5192993517267515,0.6182417025500332,1.0038438944513728,5.446157170651128,32.52,0.90244,4.914830077082405,0.0
2026-04-16 00:00:00+05:30,5.8409,0.5536208775193857,0.5428663752691238,1.0020626727239728,5.819420642942993,32.58,0.9022600000000001,5.250630469301745,0.08
2026-04-17 00:00:00+05:30,5.5301,0.5231509692648126,0.6099253043269536,1.000299785612301,5.501143937960811,32.66,0.90202,4.962141854919411,0.29
